Scheme_Name,Net_Asset_Value,Outstanding_Number_of_Units,Nav_Per_Unit,Sale_Price_per_Unit,Repurchase_Price/Unit,Date_Valued,Year,Month,Week,Day
Wekeza Maisha Fund,9178351675,11579333.88,792.6494,792.6494,776.7964,7/3/2023,2023,7,27,3
Wekeza Maisha Fund,9164074761,11570314.5,792.0333,792.0333,776.1927,6/30/2023,2023,6,26,30
Wekeza Maisha Fund,9149636040,11557453.02,791.6654,791.6654,775.8321,6/28/2023,2023,6,26,28
Wekeza Maisha Fund,9149415372,11550895.98,792.0957,792.0957,776.2538,6/27/2023,2023,6,26,27
Wekeza Maisha Fund,9109563719,11499306.43,792.1838,792.1838,776.3401,6/26/2023,2023,6,26,26
Wekeza Maisha Fund,9092319135,11485541.93,791.6317,791.6317,775.7991,6/23/2023,2023,6,25,23
Wekeza Maisha Fund,9072206920,11462800.9,791.4477,791.4477,775.6187,6/22/2023,2023,6,25,22
Wekeza Maisha Fund,9069416703,11457069.66,791.6,791.6,775.768,6/21/2023,2023,6,25,21
Wekeza Maisha Fund,9062442602,11453502.39,791.2377,791.2377,775.4129,6/20/2023,2023,6,25,20
Wekeza Maisha Fund,9049742166,11440091.36,791.0551,791.0551,775.234,6/19/2023,2023,6,25,19
Wekeza Maisha Fund,9037937076,11433094.47,790.5066,790.5066,774.6965,6/16/2023,2023,6,24,16
Wekeza Maisha Fund,9031112174,11427949.32,790.2653,790.2653,774.46,6/15/2023,2023,6,24,15
Wekeza Maisha Fund,9016810215,11416597.93,789.7984,789.7984,774.0024,6/14/2023,2023,6,24,14
Wekeza Maisha Fund,9013455146,11414998.52,789.6151,789.6151,773.8228,6/13/2023,2023,6,24,13
Wekeza Maisha Fund,9006460237,11410369.23,789.3224,789.3224,773.536,6/12/2023,2023,6,24,12
Wekeza Maisha Fund,8984940163,11390902.18,788.7821,788.7821,773.0065,6/9/2023,2023,6,23,9
Wekeza Maisha Fund,8985979891,11394896.94,788.5969,788.5969,772.8249,6/8/2023,2023,6,23,8
Wekeza Maisha Fund,8979123328,11388804.44,788.4167,788.4167,772.6483,6/7/2023,2023,6,23,7
Wekeza Maisha Fund,8974637611,11383691.8,788.3767,788.3767,772.6092,6/6/2023,2023,6,23,6
Wekeza Maisha Fund,8967673530,11370116.66,788.7055,788.7055,772.9314,6/5/2023,2023,6,23,5
